ewig,positive
zurück,negative
plötzlich,negative
geschickt,positive
gestehen,negative
wilde,negative
beständig,positive
verächtlich,negative
andeuten,positive
höflich,positive
berüchtigt,negative
widersetzen,negative
ernsthaft,positive
sinken,negative
wirken,positive
putzen,positive
höchst,positive
kriechen,negative
getragen,negative
ursprünglich,negative
genügen,positive
ausarbeiten,negative
leeren,negative
ergreifend,positive
eifrig,positive
ablaufen,negative
übergeben,negative
verehren,positive
quälen,negative
einfallen,negative
entziehen,negative
leugnen,negative
beliebt,positive
übertrieben,negative
unbeweglich,negative
bedauern,negative
günstig,positive
feierlich,negative
unwürdig,negative
wunderbare,positive
verfolgen,negative
vorenthalten,negative
unvermeidlich,negative
verschwenden,negative
stammen,positive
brutal,negative
schützen,positive
müde,negative
aufheben,negative
schätzen,positive
bejahen,positive
verboten,negative
geheim,negative
verbergen,negative
kindisch,negative
abschaffen,negative
trotz,negative
unerträglich,negative
erträglich,positive
verlassen,negative
versprechen,positive
vergeben,positive
anziehen,positive
vertrauen,positive
verstellen,negative
unterwerfen,negative
ungleich,negative
ruhen,positive
sperren,negative
gerecht,positive
scharf,positive
geliebt,positive
bündig,positive
betrügen,negative
gewähren,positive
unterdrücken,negative
schwach,negative
ungerecht,negative
bitter,negative
opfern,negative
trennen,negative
zeichnen,negative
verfallen,negative
furchtbar,negative
besiegen,positive
schlimm,negative
außerordentlich,positive
geneigt,negative
bestrafen,negative
bequem,positive
schaden,negative
übersteigen,positive
siegen,positive
lügen,negative
sauber,positive
erstaunlich,positive
unwirksam,negative
ärgerlich,negative
blasen,negative
besänftigen,positive
